seconds,roof,tank,inlet,solar,backup
9119,7,54,17,0,0
9129,7,54,17,0,0
9139,7,54,17,0,0
9149,7,54,17,0,0
9159,7,54,17,0,0
9169,7,54,17,0,0
9179,7,54,17,0,0
9189,7,54,17,0,0
9199,7,54,17,0,0
9209,7,54,17,0,0
9219,7,54,17,0,0
9229,7,54,17,0,0
9239,7,54,17,0,0
9249,7,54,17,0,0
9259,7,54,17,0,0
9269,7,54,17,0,0
9279,7,54,17,0,0
9289,7,54,17,0,0
9299,7,54,17,0,0
9309,7,54,17,0,0
9319,7,54,17,0,0
9329,7,54,17,0,0
9339,7,54,17,0,0
9349,7,54,17,0,0
9359,7,54,17,0,0
9369,7,54,17,0,0
9379,7,54,17,0,0
9389,7,54,17,0,0
9399,7,54,17,0,0
9409,7,54,17,0,0
9419,7,54,17,0,0
9429,7,54,17,0,0
9439,7,54,17,0,0
9449,7,54,17,0,0
9459,7,54,17,0,0
9469,7,54,17,0,0
9479,7,54,17,0,0
9489,7,54,17,0,0
9499,7,54,17,0,0
9509,7,54,17,0,0
9519,7,54,17,0,0
9529,7,54,17,0,0
9539,7,54,17,0,0
9549,7,54,17,0,0
9559,7,54,17,0,0
9569,7,54,17,0,0
9579,7,54,17,0,0
9589,7,54,17,0,0
9599,7,54,17,0,0
9609,7,54,17,0,0
9619,7,54,17,0,0
9629,7,54,17,0,0
9639,7,54,17,0,0
9649,7,54,17,0,0
9659,7,54,17,0,0
9669,7,54,17,0,0
9679,7,54,17,0,0
9689,7,54,17,0,0
9699,7,54,17,0,0
9709,7,54,17,0,0
9719,7,54,17,0,0
9729,7,54,17,0,0
9739,7,54,17,0,0
9749,7,54,17,0,0
9759,7,54,17,0,0
9769,7,54,17,0,0
9779,7,54,17,0,0
9789,7,54,17,0,0
9799,7,54,17,0,0
9809,7,54,17,0,0
9819,7,54,17,0,0
9829,7,54,17,0,0
9839,7,54,17,0,0
9849,7,54,17,0,0
9859,7,54,17,0,0
